geo_accession	sex	ploidy	cell_type
GSM300053	male	disomic	n/a
GSM300054	male	disomic	n/a
GSM300055	male	disomic	n/a
GSM300056	male	disomic	n/a
GSM300057	male	disomic	n/a
GSM300058	male	disomic	n/a
GSM300059	female	disomic	n/a
GSM300060	male	disomic	n/a
GSM300061	male	disomic	n/a
GSM300062	male	disomic	n/a
GSM300063	male	disomic	n/a
GSM300064	male	disomic	n/a
GSM300065	male	disomic	n/a
GSM300066	female	disomic	n/a
GSM300067	male	disomic	n/a
GSM300068	male	disomic	n/a
GSM21040	n/a	n/a	n/a
GSM21041	n/a	n/a	n/a
GSM21042	n/a	n/a	n/a
GSM21043	n/a	n/a	n/a
GSM21044	n/a	n/a	n/a
GSM21045	n/a	n/a	n/a
GSM21046	n/a	n/a	n/a
GSM21047	n/a	n/a	n/a
GSM21048	n/a	n/a	n/a
GSM21049	n/a	n/a	n/a
GSM21050	n/a	n/a	n/a
GSM21051	n/a	n/a	n/a
GSM21052	n/a	n/a	n/a
GSM21053	n/a	n/a	n/a
GSM21054	n/a	n/a	n/a
GSM21055	n/a	n/a	n/a
GSM21056	n/a	n/a	n/a
GSM21057	n/a	n/a	n/a
GSM21058	n/a	n/a	n/a
GSM21059	n/a	n/a	n/a
GSM21060	n/a	n/a	n/a
GSM21061	n/a	n/a	n/a
GSM21062	n/a	n/a	n/a
GSM21063	n/a	n/a	n/a
GSM21040	n/a	n/a	n/a
GSM21041	n/a	n/a	n/a
GSM21042	n/a	n/a	n/a
GSM21043	n/a	n/a	n/a
GSM21044	n/a	n/a	n/a
GSM21045	n/a	n/a	n/a
GSM21046	n/a	n/a	n/a
GSM21047	n/a	n/a	n/a
GSM21048	n/a	n/a	n/a
GSM21049	n/a	n/a	n/a
GSM21050	n/a	n/a	n/a
GSM21051	n/a	n/a	n/a
GSM4120541	n/a	disomic	n/a
GSM4120542	n/a	disomic	n/a
GSM4120543	n/a	disomic	n/a
GSM4120544	n/a	disomic	n/a
GSM4120545	n/a	disomic	n/a
GSM4120546	n/a	disomic	n/a
GSM4120547	n/a	disomic	n/a
GSM4120548	n/a	disomic	n/a
GSM4120549	n/a	disomic	n/a
GSM4120550	n/a	disomic	n/a
GSM4120551	n/a	disomic	n/a
GSM4120552	n/a	disomic	n/a
GSM4120553	n/a	disomic	n/a
GSM4120554	n/a	disomic	n/a
GSM4120555	n/a	disomic	n/a
GSM4120556	n/a	disomic	n/a
GSM4120557	n/a	disomic	n/a
GSM4120558	n/a	disomic	n/a
GSM22509	n/a	trisomic	n/a
GSM22510	n/a	trisomic	n/a
GSM22511	n/a	trisomic	n/a
GSM22512	n/a	trisomic	n/a
GSM22523	n/a	trisomic	n/a
GSM22524	n/a	trisomic	n/a
GSM22526	n/a	trisomic	n/a
GSM22527	n/a	trisomic	n/a
GSM22583	n/a	trisomic	n/a
GSM22584	n/a	trisomic	n/a
GSM22585	n/a	trisomic	n/a
GSM22586	n/a	trisomic	n/a
GSM22587	n/a	trisomic	n/a
GSM22588	n/a	trisomic	n/a
GSM22589	n/a	trisomic	n/a
GSM22604	n/a	trisomic	n/a
GSM22606	n/a	trisomic	n/a
GSM22608	n/a	trisomic	n/a
GSM22610	n/a	trisomic	n/a
GSM22612	n/a	trisomic	n/a
GSM22613	n/a	trisomic	n/a
GSM22614	n/a	trisomic	n/a
GSM22615	n/a	trisomic	n/a
GSM22616	n/a	trisomic	n/a
GSM22624	n/a	trisomic	n/a
GSM22703	n/a	trisomic	n/a
GSM22704	n/a	trisomic	n/a
GSM22705	n/a	trisomic	n/a
GSM4276198	n/a	disomic	periodontal ligament cells
GSM4276199	n/a	disomic	periodontal ligament cells
GSM4502506	male	trisomic	n/a
GSM4502507	male	trisomic	n/a
GSM4502508	male	trisomic	n/a
GSM4502509	male	trisomic	n/a
GSM4502510	male	trisomic	n/a
GSM4502511	male	trisomic	n/a
GSM4502512	male	trisomic	n/a
GSM4502513	male	trisomic	n/a
GSM4502514	male	trisomic	n/a
GSM4502515	male	trisomic	n/a
GSM4502516	male	trisomic	n/a
GSM4502517	male	trisomic	n/a
GSM4502518	male	trisomic	n/a
GSM4502519	male	trisomic	n/a
GSM4502520	male	trisomic	n/a
GSM4502521	male	trisomic	n/a
GSM4502522	male	trisomic	n/a
GSM4502523	male	trisomic	n/a
GSM4502524	male	trisomic	n/a
GSM4502525	male	trisomic	n/a
GSM4502526	male	trisomic	n/a
GSM4502527	male	trisomic	n/a
GSM4502528	male	trisomic	n/a
GSM4502529	male	trisomic	n/a
GSM4502530	male	trisomic	n/a
GSM4502531	male	trisomic	n/a
GSM4502532	male	trisomic	n/a
GSM4502533	male	trisomic	n/a
GSM4502534	male	trisomic	n/a
GSM4502535	male	trisomic	n/a
GSM4502536	male	trisomic	n/a
GSM4502537	male	trisomic	n/a
GSM4502538	male	trisomic	n/a
GSM4502539	male	trisomic	n/a
GSM4502540	male	trisomic	n/a
GSM4502541	male	trisomic	n/a
GSM4502542	male	trisomic	n/a
GSM4502543	male	trisomic	n/a
GSM4502544	male	trisomic	n/a
GSM4502545	male	trisomic	n/a
GSM4502546	male	trisomic	n/a
GSM4502547	male	trisomic	n/a
GSM4502548	male	trisomic	n/a
GSM4502549	male	trisomic	n/a
GSM4502550	male	trisomic	n/a
GSM4502551	male	trisomic	n/a
GSM4502552	male	trisomic	n/a
GSM4502553	male	trisomic	n/a
GSM4502554	male	trisomic	n/a
GSM4502555	male	trisomic	n/a
GSM4502572	male	trisomic	n/a
GSM4502573	male	trisomic	n/a
GSM4502574	male	trisomic	n/a
GSM4502575	male	trisomic	n/a
GSM4502576	male	trisomic	n/a
GSM4502577	male	trisomic	n/a
GSM4502578	male	trisomic	n/a
GSM4502579	male	trisomic	n/a
GSM4502580	male	trisomic	n/a
GSM4502581	male	trisomic	n/a
GSM4502582	male	trisomic	n/a
GSM4502583	male	trisomic	n/a
GSM4502584	male	trisomic	n/a
GSM4502585	male	trisomic	n/a
GSM4502586	male	trisomic	n/a
GSM4502587	male	trisomic	n/a
GSM4502588	male	trisomic	n/a
GSM4502589	male	trisomic	n/a
GSM4502590	male	trisomic	n/a
GSM4502591	male	trisomic	n/a
GSM4798553	female	disomic	n/a
GSM4798554	female	disomic	n/a
GSM4798555	female	disomic	n/a
GSM4798556	female	disomic	n/a
GSM4798557	female	disomic	n/a
GSM4798558	female	disomic	n/a
GSM4798559	female	disomic	n/a
GSM4798560	female	disomic	n/a
GSM4798561	female	disomic	n/a
GSM4798562	female	disomic	n/a
GSM4798563	female	disomic	n/a
GSM4798564	female	disomic	n/a
GSM4798565	female	disomic	n/a
GSM4798566	female	disomic	n/a
GSM4798567	female	disomic	n/a
GSM4798568	female	disomic	n/a
GSM4798569	female	disomic	n/a
GSM4798570	female	disomic	n/a
GSM4798571	female	disomic	n/a
GSM4798572	female	disomic	n/a
GSM4798573	n/a	disomic	n/a
GSM4798574	n/a	disomic	n/a
GSM4798575	n/a	disomic	n/a
GSM4798576	n/a	disomic	n/a
GSM4798577	n/a	disomic	n/a
GSM4798578	n/a	disomic	n/a
GSM4798579	n/a	disomic	n/a
GSM4798580	n/a	disomic	n/a
GSM4798581	n/a	disomic	n/a
GSM4798582	n/a	disomic	n/a
GSM4798583	n/a	disomic	n/a
GSM4798584	n/a	disomic	n/a
GSM4798585	n/a	disomic	n/a
GSM4798586	n/a	disomic	n/a
GSM4798587	n/a	trisomic	n/a
GSM4798588	n/a	trisomic	n/a
GSM4798589	n/a	trisomic	n/a
